post
105020111,68 73 81 88 94 107 113 119
105020207, 81
105020210, 
105020304, 17 27 48 49 69 88 89 107
105020313, 17 68 73 81
105030102, 56 80 
105030113, 17
105030216, 43 49 68 73 88 89 99
105030304, 17 63 68 73 81 99 
105020108, 17 48 
105020109, 17
105020112, 73 81 113 117
105020205, 68 73 
105020302, 17 63 68 71 73 81 114
105020305, 68
105020308, 48 88
105020310, 68 89 94
105020312, 68 73 81 89 94 99 107
105020315, 17 44 63 88 94 99 107
105030104, 17 56 81 99 113 114
105030407, 44
105030108, 17 68 119
105030109, 17 68 73 81
105030201, 17 48 68 73 74 81 82 94 88 107 119
105030202, 73 81 88
105030204, 56 57 63 73 81 88 94 
105030208, 
105030210, 63 88 89 94 99 107
105020204, 17 63 68 73 94 99
105020209, 17 33 68 94 114
105020213, 1 17 48 56 68 73 
105020301, 17 32 81 113
105020303, 68 73 88 94 119
105030103, 17 48 56 88
105030105, 17 107
105030110, 17 48 119
105030203, 119
105030205, 17 73 81 88 113
105030206, 17 63 64 68 73 107
105030207, 17 32 48 73 88 113 114
105030214, 17 48 49 68 81 88 99 107
105030215, 17 56 60 73 81 99 107
